Agent Name,Wins,Losses,Performance
Generation:,2,Num Of Bots,292,PlatVal,0.45657134576798913
JCRW-QGLL#63,232,123,0,Weights:,0.51786,0.438535,-0.41751499999999997,-0.220115,-0.15325,0.28081500000000004,0.02940999999999999,-0.5721849999999999,-0.34496000000000004,0.301085,-0.051495,0.35673,-0.7530950000000001,-0.28333,-0.37646999999999997,0.347075,-0.32940500000000006,0.38343000000000005
DDWK,266,87,0.0,Weights:,0.68942,0.64207,0.79043,-0.49145,-0.01246,0.11815,0.02425,0.427,0.11367,-0.22173,0.63208,-0.02731,0.81542,-0.40283,0.5047,0.88192,0.05,0.5712
JQQY,130,226,0.0,Weights:,-0.87992,-0.30421,0.40791,-0.13,0.36209,0.44727,-0.20212,0.74901,0.24076,-0.69565,0.03393,0.80176,0.4016,0.11798,0.72084,-0.45486,-0.3039,-0.61011
EZXC-ADUK#75,266,88,0,Weights:,-0.168995,-0.36304499999999995,0.125105,-0.07873000000000002,-0.664065,0.662355,0.029220000000000003,-0.516505,-0.12470999999999999,0.310635,0.15749,0.28636,-0.154205,-0.110565,-0.801195,0.33475,0.35919500000000004,-0.32125000000000004
AMHR-EMDX#81,274,82,0,Weights:,0.05138999999999999,0.358735,0.361475,0.340785,0.25327,0.434665,0.151795,0.025430000000000008,0.04053499999999999,0.340715,0.176085,-0.010929999999999995,-0.05186000000000002,-0.24961,0.5283,-0.678815,0.39334,-0.282
HDFH,121,234,1.0,Weights:,0.11626,-0.49243,-0.06832,-0.45452,0.64008,0.7393,0.508,-0.70751,-0.83764,0.51805,-0.35174,-0.87217,-0.52637,-0.40773,0.12411,-0.50982,-0.61911,-0.41154
BGZN-ANCG#21,169,184,0,Weights:,0.32735499999999995,-0.10585000000000001,0.25689500000000004,-0.17712,0.108705,0.06040000000000001,0.42072000000000004,0.0017850000000000366,-0.325615,0.10027499999999999,0.22432999999999997,-0.041819999999999996,0.384055,-0.76945,0.29052999999999995,-0.14379,0.37041500000000005,0.05416499999999999
WKZV,71,286,0,Weights:,-0.88889,-0.59357,0.13974,-0.62028,-0.07064,-0.20786,0.3596,0.22915,0.68839,0.87838,0.33614,-0.89406,0.07612,-0.64326,-0.42178,-0.29615,0.09142,-0.15251
QHLL,181,173,0.0,Weights:,-0.50089,0.39654,0.88889,0.61486,0.38688,0.68246,-0.23205,0.71498,0.83677,-0.61618,-0.88421,-0.7623,0.14725,0.65816,0.52873,0.22873,0.895,0.12687
JOWW-SDEI#20,166,191,0,Weights:,0.6677649999999999,0.005875000000000019,0.257285,-0.04630000000000001,0.26046,0.459155,-0.7792049999999999,0.686735,0.00028500000000000747,0.09643499999999999,-0.33319,-0.02982,-0.292015,0.143455,-0.008004999999999998,-0.35146499999999997,-0.422645,-0.147515
